date,bike_stands,available_bike_stands,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-04-04 20:51:32,20,15,15.350000381469727,55.0,6.356236934661865,13.701791763305664,0.0,0.0,982.1912841796875
2024-04-04 18:53:16,20,15,15.350000381469727,55.0,6.356236934661865,13.701791763305664,0.0,0.0,982.1912841796875
2024-04-04 19:10:00,20,19,14.25,57.0,5.846774578094482,12.511861801147461,0.0,0.0,982.8441162109375
2024-04-04 20:11:05,20,16,13.550000190734863,63.0,6.639784812927246,12.064830780029297,0.0,0.0,983.3469848632812
2024-04-04 21:09:33,20,18,13.550000190734863,63.0,6.639784812927246,12.064830780029297,0.0,0.0,983.3469848632812
2024-04-04 22:09:43,20,18,11.5,68.0,5.797409534454346,9.960200309753418,0.0,0.0,984.56787109375
2024-04-04 23:11:46,20,16,11.0,74.0,6.543144702911377,9.64927864074707,0.0,0.0,984.9945068359375
2024-04-05 00:46:58,20,16,10.350000381469727,75.0,6.1100921630859375,9.258111953735352,0.0,0.0,985.7914428710938
2024-04-05 01:43:49,20,16,10.350000381469727,75.0,6.1100921630859375,9.258111953735352,0.0,0.0,985.7914428710938
2024-04-05 02:17:54,20,16,8.649999618530273,85.0,6.269316673278809,7.359419822692871,0.0,0.0,986.6593627929688
2024-04-05 03:12:46,20,17,8.649999618530273,85.0,6.269316673278809,7.359419822692871,0.0,0.0,986.6593627929688
2024-04-05 04:15:12,20,16,9.0,81.0,5.9133429527282715,7.713557243347168,0.0,0.0,987.3772583007812
2024-04-05 05:10:22,20,10,9.0,81.0,5.9133429527282715,7.713557243347168,0.0,0.0,987.3772583007812
2024-04-05 06:13:38,20,8,8.800000190734863,82.0,5.895590305328369,7.659887313842773,0.0,0.0,987.934326171875
2024-04-05 07:10:13,20,12,8.800000190734863,82.0,5.895590305328369,7.659887313842773,0.0,0.0,987.934326171875
2024-04-05 09:10:26,20,19,18.549999237060547,50.0,7.926782608032227,15.623767852783203,0.0,0.0,988.8348999023438
2024-04-05 10:12:15,20,20,19.450000762939453,42.0,6.200652122497559,16.269304275512695,0.0,0.0,988.4479370117188
2024-04-05 11:09:05,20,12,19.450000762939453,42.0,6.200652122497559,16.269304275512695,0.0,0.0,988.4479370117188
2024-04-05 12:18:24,20,7,21.75,39.0,7.18546724319458,18.90561294555664,0.0,0.0,987.0472412109375
2024-04-05 13:11:58,20,8,21.75,39.0,7.18546724319458,18.90561294555664,0.0,0.0,987.0472412109375
2024-04-05 14:12:14,20,7,22.049999237060547,42.0,8.54362964630127,18.627304077148438,0.0,0.0,986.0133666992188
2024-04-05 15:10:40,20,12,22.049999237060547,42.0,8.54362964630127,18.627304077148438,0.0,0.0,986.0133666992188
2024-04-05 16:14:28,20,16,20.799999237060547,48.0,9.388317108154297,18.630496978759766,0.0,0.0,985.5900268554688
2024-04-05 17:09:17,20,18,20.799999237060547,48.0,9.388317108154297,18.630496978759766,0.0,0.0,985.5900268554688
2024-04-05 18:13:07,20,19,16.549999237060547,62.0,9.241521835327148,15.596746444702148,0.0,0.0,985.2274780273438
2024-04-05 19:10:04,20,19,16.549999237060547,62.0,9.241521835327148,15.596746444702148,0.0,0.0,985.2274780273438
2024-04-05 20:11:25,20,14,14.300000190734863,67.0,8.254100799560547,13.302194595336914,0.0,0.0,986.334228515625
2024-04-05 21:10:06,20,15,14.300000190734863,67.0,8.254100799560547,13.302194595336914,0.0,0.0,986.334228515625
2024-04-05 22:10:31,20,15,12.649999618530273,73.0,7.935349464416504,11.517711639404297,0.0,0.0,986.4395141601562
2024-04-05 23:11:48,20,13,12.800000190734863,73.0,8.079869270324707,11.800247192382812,0.0,0.0,985.9728393554688
2024-04-06 00:44:40,20,13,11.649999618530273,81.0,8.498498916625977,10.80470085144043,0.0,0.0,986.5199584960938
2024-04-06 01:41:32,20,13,11.649999618530273,81.0,8.498498916625977,10.80470085144043,0.0,0.0,986.5199584960938
2024-04-06 02:16:21,20,13,10.899999618530273,83.0,8.125617027282715,10.14757251739502,0.0,0.0,987.3055419921875
2024-04-06 03:12:09,20,13,10.899999618530273,83.0,8.125617027282715,10.14757251739502,0.0,0.0,987.3055419921875
2024-04-06 04:13:38,20,13,10.100000381469727,88.0,8.202025413513184,9.196697235107422,0.0,0.0,986.9234619140625
2024-04-06 05:10:49,20,13,10.100000381469727,88.0,8.202025413513184,9.196697235107422,0.0,0.0,986.9234619140625
2024-04-06 06:13:00,20,15,10.649999618530273,87.0,8.574773788452148,10.041520118713379,0.0,0.0,987.470458984375
2024-04-06 07:10:03,20,16,10.649999618530273,87.0,8.574773788452148,10.041520118713379,0.0,0.0,987.470458984375
2024-04-06 08:13:05,20,15,16.25,66.0,9.88844108581543,15.360151290893555,0.0,0.0,988.0990600585938
2024-04-06 09:10:31,20,11,16.25,66.0,9.88844108581543,15.360151290893555,0.0,0.0,988.0990600585938
2024-04-06 10:10:56,20,7,21.549999237060547,52.0,11.277599334716797,21.51614761352539,0.0,0.0,987.9945068359375
2024-04-06 11:08:08,20,8,21.549999237060547,52.0,11.277599334716797,21.51614761352539,0.0,0.0,987.9945068359375
2024-04-06 12:17:39,20,7,25.100000381469727,39.0,10.174995422363281,24.383983612060547,0.0,0.0,986.9136962890625
2024-04-06 13:11:42,20,9,25.100000381469727,39.0,10.174995422363281,24.383983612060547,0.0,0.0,986.9136962890625
2024-04-06 14:08:30,20,7,25.899999618530273,34.0,8.839706420898438,23.520095825195312,0.0,0.0,985.8334350585938
2024-04-06 15:09:13,20,5,26.049999237060547,36.0,9.821581840515137,24.488174438476562,0.0,0.0,985.4612426757812
2024-04-06 16:12:42,20,12,25.049999237060547,40.0,10.509801864624023,24.315397262573242,0.0,0.0,985.3580932617188
2024-04-06 17:10:26,20,13,25.049999237060547,40.0,10.509801864624023,24.315397262573242,0.0,0.0,985.3580932617188
2024-04-06 18:12:15,20,13,19.700000762939453,61.0,11.96854305267334,19.69761848449707,0.0,0.0,985.6660766601562
2024-04-06 19:08:06,20,8,19.700000762939453,61.0,11.96854305267334,19.69761848449707,0.0,0.0,985.6660766601562
2024-04-06 20:12:02,20,8,16.350000381469727,73.0,11.499211311340332,16.40283203125,0.0,0.0,986.6580200195312
2024-04-06 21:09:53,20,8,16.350000381469727,73.0,11.499211311340332,16.40283203125,0.0,0.0,986.6580200195312
2024-04-06 22:09:03,20,8,14.399999618530273,76.0,10.222820281982422,14.245285034179688,0.0,0.0,986.829345703125
2024-04-06 23:10:35,20,7,12.949999809265137,89.0,11.179576873779297,13.12559700012207,0.0,0.0,986.7637329101562
2024-04-07 00:51:40,20,9,12.350000381469727,88.0,10.41826343536377,12.297901153564453,0.0,0.0,987.0831298828125
2024-04-07 01:52:14,20,12,11.75,88.0,9.827295303344727,11.664827346801758,0.0,0.0,986.8217163085938
2024-04-07 02:21:04,20,12,11.75,88.0,9.827295303344727,11.664827346801758,0.0,0.0,986.8217163085938
2024-04-07 03:11:29,20,10,11.350000381469727,91.0,9.933135032653809,11.347343444824219,0.0,0.0,986.8731079101562
