,date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure,bike_stands,available_bike_stands
0,2023-06-25 19:07:30+00:00,25.1,45,12.4,24.7,0.0,0.0,984.3,22,8
1,2023-06-25 20:25:41+00:00,24.2,43,10.9,23.3,,0.0,984.5,22,8
2,2023-06-25 20:12:20+00:00,24.2,43,10.9,23.3,0.0,0.0,984.5,22,12
3,2023-06-25 19:33:48+00:00,24.2,43,10.9,23.3,0.0,0.0,984.5,22,7
4,2023-06-25 19:55:29+00:00,24.2,43,10.9,23.3,,0.0,984.5,22,8
5,2023-06-25 19:45:44+00:00,24.2,43,10.9,23.3,0.0,0.0,984.5,22,6
6,2023-06-25 20:02:16+00:00,24.2,43,10.9,23.3,0.0,,984.5,22,12
7,2023-06-25 20:34:07+00:00,21.5,55,12.1,21.7,0.0,0.0,984.4,22,5
8,2023-06-25 20:45:23+00:00,21.5,55,12.1,21.7,0.0,0.0,984.4,22,7
9,2023-06-25 20:52:46+00:00,21.5,55,12.1,21.7,0.0,0.0,984.4,22,7
10,2023-06-25 21:02:51+00:00,21.5,55,12.1,21.7,0.0,0.0,984.4,22,7
11,2023-06-25 21:12:57+00:00,21.5,55,12.1,21.7,0.0,0.0,984.4,22,7
12,2023-06-25 21:23:15+00:00,21.5,55,12.1,21.7,0.0,0.0,984.4,22,6
18,2023-06-25 22:03:26+00:00,20.4,58,11.9,20.4,0.0,0.0,984.7,22,1
17,2023-06-25 21:44:18+00:00,20.4,58,11.9,20.4,0.0,0.0,984.7,22,0
16,2023-06-25 21:53:21+00:00,20.4,58,11.9,20.4,0.0,0.0,984.7,22,1
14,2023-06-25 22:14:17+00:00,20.4,58,11.9,20.4,0.0,0.0,984.7,22,2
13,2023-06-25 22:23:43+00:00,20.4,58,11.9,20.4,0.0,,984.7,22,0
15,2023-06-25 21:35:28+00:00,20.4,58,11.9,20.4,0.0,0.0,984.7,22,5
24,2023-06-25 22:33:48+00:00,18.2,72,13.1,18.5,0.0,0.0,985.3,22,0
19,2023-06-25 23:24:15+00:00,18.2,72,13.1,18.5,0.0,0.0,985.3,22,0
20,2023-06-25 23:15:06+00:00,18.2,72,13.1,18.5,0.0,0.0,985.3,22,0
21,2023-06-25 23:04:05+00:00,18.2,72,13.1,18.5,0.0,0.0,985.3,22,1
22,2023-06-25 22:53:58+00:00,,72,13.1,18.5,0.0,0.0,985.3,22,0
23,2023-06-25 22:43:53+00:00,18.2,72,13.1,18.5,0.0,0.0,985.3,22,0
25,2023-06-25 23:34:21+00:00,17.8,74,13.1,18.1,0.0,,985.2,22,0
26,2023-06-25 23:44:26+00:00,17.8,74,13.1,18.1,0.0,0.0,985.2,22,0
27,2023-06-25 23:54:30+00:00,17.8,74,13.1,18.1,0.0,,985.2,22,0
28,2023-06-26 00:04:36+00:00,17.8,74,13.1,18.1,0.0,0.0,985.2,22,0
29,2023-06-26 00:14:41+00:00,,74,13.1,18.1,0.0,0.0,985.2,22,0
30,2023-06-26 00:24:46+00:00,17.8,74,13.1,18.1,0.0,0.0,985.2,22,0
36,2023-06-26 01:05:07+00:00,17.4,72,12.3,17.2,0.0,0.0,985.2,22,0
35,2023-06-26 00:44:57+00:00,17.4,72,12.3,17.2,0.0,0.0,985.2,22,0
34,2023-06-26 00:55:02+00:00,17.4,72,12.3,17.2,0.0,0.0,985.2,22,0
33,2023-06-26 00:34:51+00:00,17.4,72,12.3,17.2,0.0,0.0,985.2,22,0
32,2023-06-26 01:15:12+00:00,17.4,72,12.3,17.2,0.0,0.0,985.2,22,0
